"record_id","scientific_name","common_name","vitality","osgr_1km","latitude","longitude","country","start_date_year"
"ad50a489-3d43-4805-a52c-d0dffee35d4f","Lutra lutra","Eurasian Otter","dead","SS7497",51.66,-3.82,"United Kingdom",2014
"a4eff461-34ad-409c-821d-88dc1682b56b","Lutra lutra","Eurasian Otter","dead","SO8803",51.73,-2.17,"United Kingdom",2023
"9f2d3ea7-c4d7-4294-a754-56af3e0ddd8f","Lutra lutra","Eurasian Otter","dead","ST3246",51.21,-2.96,"United Kingdom",2019
"9d4a948d-5232-4038-bbd9-4778faf6f58d","Lutra lutra","Eurasian Otter","dead","TL9889",52.46,0.92,"United Kingdom",2016
"965a453e-566e-419a-a3d2-e8e0d3a2383c","Lutra lutra","Eurasian Otter","dead","SK0007",52.66,-1.99,"United Kingdom",2023
"9523e6b9-2f45-4089-8d3b-9365de50e4e0","Lutra lutra","Eurasian Otter","dead","SJ0237",52.92,-3.45,"United Kingdom",2015
"936cd194-ee8d-4867-b739-f1fc0fb3dc1b","Lutra lutra","Eurasian Otter","dead","NO7475",56.87,-2.41,"United Kingdom",2016
"9308b45c-37f1-471a-b700-d8f31c54d15a","Lutra lutra","Eurasian Otter","dead","ST3652",51.27,-2.91,"United Kingdom",2015
"90a60607-b0b7-4dcd-aa8e-213b0188deaa","Lutra lutra","Eurasian Otter","dead","TF2241",52.96,-0.18,"United Kingdom",2018
"8eff76ae-36f4-49ed-a080-125142764cfe","Lutra lutra","Eurasian Otter","dead","NZ5126",54.63,-1.21,"United Kingdom",2015
"8ed66f4e-2a51-49a9-9c2e-8984917b23ad","Lutra lutra","Eurasian Otter","dead","NY5128",54.65,-2.75,"United Kingdom",2015
"8aa25cb0-77fc-4da1-bad0-6f95b3de3a7c","Lutra lutra","Eurasian Otter","dead","NO7677",56.89,-2.39,"United Kingdom",2016
"8a5aac5c-4ef7-496d-891f-60b986a4d6db","Lutra lutra","Eurasian Otter","dead","TL9658",52.19,0.87,"United Kingdom",2020
"8a500b59-e948-4935-afef-e8b00f1fd8bf","Lutra lutra","Eurasian Otter","dead","SK6211",52.69,-1.07,"United Kingdom",2015
"88f6cdb9-def2-4496-a12a-5755bcf72b22","Lutra lutra","Eurasian Otter","dead","SH5345",52.99,-4.18,"United Kingdom",2014
"86408976-3ecb-40ca-81cc-e6d170e859a2","Lutra lutra","Eurasian Otter","dead","NJ3953",57.57,-3.02,"United Kingdom",2015
"816f63ec-1cb3-43f1-9c1f-3fd4f0fc5e9f","Lutra lutra","Eurasian Otter","dead","SS9888",51.58,-3.46,"United Kingdom",2016
"80fd336e-4d77-405f-9104-aced5d98566f","Lutra lutra","Eurasian Otter","dead","NN5809",56.26,-4.28,"United Kingdom",2021
"7ca5f73b-aedb-4fcf-a7ee-7d6ee4a68ab0","Lutra lutra","Eurasian Otter","dead","SZ0098",50.79,-1.99,"United Kingdom",2019
"7a0f669f-cb2f-4525-8393-e7a143076acd","Lutra lutra","Eurasian Otter","dead","NY6821",54.59,-2.5,"United Kingdom",2015
"719f227e-66df-46c5-8873-2fd1c04e2ef1","Lutra lutra","Eurasian Otter","dead","SX4953",50.36,-4.12,"United Kingdom",2016
"6f0945ad-f084-44e8-8778-1c19269545af","Lutra lutra","Eurasian Otter","dead","SH5339",52.93,-4.18,"United Kingdom",2016
"663c34cf-789a-4213-9290-e7eafe86bb02","Lutra lutra","Eurasian Otter","dead","NO6367",56.8,-2.6,"United Kingdom",2016
"62c22338-d749-4e5c-b063-9e45f0e49714","Lutra lutra","Eurasian Otter","dead","TM4291",52.47,1.56,"United Kingdom",2017
"5d7edb47-1be5-41cc-ba65-dd5b3b36a22c","Lutra lutra","Eurasian Otter","dead","NS9745",55.69,-3.63,"United Kingdom",2022
"5c06d100-5f16-4a50-832f-841bc642316b","Lutra lutra","Eurasian Otter","dead","NS4373",55.93,-4.5,"United Kingdom",2015
"5b834ce3-d8b0-40b9-b1c9-47f1b9c3e26b","Lutra lutra","Eurasian Otter","dead","TL6841",52.05,0.46,"United Kingdom",2016
"5ae5e8b8-898a-4505-a7e2-fe56d0c5dfd2","Lutra lutra","Eurasian Otter","dead","SN1412",51.78,-4.7,"United Kingdom",2015
"58c0e800-59df-4b2b-a838-835081866d34","Lutra lutra","Eurasian Otter","dead","ST2322",51,-3.09,"United Kingdom",2020
"587a2d37-0cd5-401d-bc36-7e5efba7ac52","Lutra lutra","Eurasian Otter","dead","NM9334",56.46,-5.36,"United Kingdom",2016
"53d647ce-3edb-4085-8eb5-948e0c38f84c","Lutra lutra","Eurasian Otter","dead","SD5277",54.19,-2.73,"United Kingdom",2014
"53710251-66c9-4893-9307-213a7afda28a","Lutra lutra","Eurasian Otter","dead","ST4775",51.48,-2.76,"United Kingdom",2017
"4db8c215-3247-4044-af2a-6943c893a0a6","Lutra lutra","Eurasian Otter","dead","TM4497",52.52,1.61,"United Kingdom",2015
"4b69ab1d-5d78-4c00-9ccf-857f67bc4097","Lutra lutra","Eurasian Otter","dead","NY5528",54.65,-2.69,"United Kingdom",2015
"3d9c872c-bd20-4479-b3b2-2fe0c2123b4a","Lutra lutra","Eurasian Otter","dead","NS2184",56.02,-4.87,"United Kingdom",2021
"3bbfe0f6-fdbf-4817-b87e-ddf5d20518d5","Lutra lutra","Eurasian Otter","dead","SD6635",53.82,-2.51,"United Kingdom",2017
"3bbf7157-dcfa-49c4-acf4-fd4c0bf9bbdd","Lutra lutra","Eurasian Otter","dead","SD6635",53.82,-2.51,"United Kingdom",2017
"356dd33c-1e3e-46b3-a0fa-96e463584d98","Lutra lutra","Eurasian Otter","dead","NY1630",54.66,-3.3,"United Kingdom",2018
"32f18588-2692-47e3-8132-cb62d098a2ad","Lutra lutra","Eurasian Otter","dead","NO3629",56.46,-3.04,"United Kingdom",2020
"31acc448-a96b-44f0-bcd0-dbf860697d38","Lutra lutra","Eurasian Otter","dead","NS6376",55.96,-4.19,"United Kingdom",2017
"30ceaa46-c116-4047-8b3e-34fee49a34bd","Lutra lutra","Eurasian Otter","dead","NY3860",54.93,-2.96,"United Kingdom",2014
"2fe70216-d23f-494c-a670-f9df07541fc9","Lutra lutra","Eurasian Otter","dead","NS5257",55.79,-4.35,"United Kingdom",2018
"2ecae6c4-4693-4dd0-835f-f4adf624ca3b","Lutra lutra","Eurasian Otter","dead","NJ6505",57.14,-2.58,"United Kingdom",2017
"2e856032-63cb-47a0-8a8f-80434cfbb726","Lutra lutra","Eurasian Otter","dead","NY6821",54.59,-2.5,"United Kingdom",2015
"2e5556fa-6eb5-49ff-9b0f-5f321a890acc","Lutra lutra","Eurasian Otter","dead","SP9043",52.09,-0.68,"United Kingdom",2016
"2c66cb19-a9cc-4757-b888-179878fb3e96","Lutra lutra","Eurasian Otter","dead","SO8219",51.88,-2.25,"United Kingdom",2021
"2b53a2ff-c5c6-4215-9144-b83ba5f739cf","Lutra lutra","Eurasian Otter","dead","SD4785",54.26,-2.81,"United Kingdom",2016
"272c81c5-a487-4b40-8bf7-ffbbd33b9ab9","Lutra lutra","Eurasian Otter","dead","SY6590",50.71,-2.49,"United Kingdom",2014
"261e85e1-eeda-48af-b481-f9dd06d17d33","Lutra lutra","Eurasian Otter","dead","SJ0470",53.23,-3.44,"United Kingdom",2018
"23f6a34f-bc85-4ba4-be8c-934d26d715c1","Lutra lutra","Eurasian Otter","dead","TG2830",52.82,1.39,"United Kingdom",2023
"23ede792-1387-4ac9-8b30-3948e9bd991a","Lutra lutra","Eurasian Otter","dead","SX4994",50.73,-4.14,"United Kingdom",2016
"21c49517-4235-4abd-93e8-b3166dd7ec56","Lutra lutra","Eurasian Otter","dead","NS3783",56.02,-4.62,"United Kingdom",2014
"208dadf2-1d86-4f27-9336-e8c19bd6baa4","Lutra lutra","Eurasian Otter","dead","NO8585",56.96,-2.24,"United Kingdom",2021
"1f379c00-2b0f-4f4a-bc13-0045e5498c39","Lutra lutra","Eurasian Otter","dead","NJ6505",57.14,-2.58,"United Kingdom",2017
