"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"f382bc06-4a90-402b-815c-00b563b36b10","27939","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2017-04-12","12","04","2017","","","","","","NS6376","55.96","-4.19","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","NS","NS67","NS67I","NS6376","United Kingdom","Scotland","dead"
"efe0f377-6faa-490c-971c-b62571b3697b","19853","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2016-04-14","14","04","2016","","","","","","NT4677","55.98","-2.85","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","NT","NT47","NT47T","NT4677","United Kingdom","Scotland","dead"
"ef19f0ce-dcf1-4fae-b001-b3caf618e5a4","38996","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2017-04-27","27","04","2017","","","","","","SN8414","51.81","-3.68","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SN","SN81","SN81M","SN8414","United Kingdom","Wales","dead"
"e67c1a5a-0caa-4226-af90-e8e4b16654d8","39178","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2018-04-11","11","04","2018","","","","","","SD5320","53.68","-2.7","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SD","SD52","SD52F","SD5320","United Kingdom","England","dead"
"e612a72e-c428-40c3-9716-9a9b25ae2729","19777","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2016-04-10","10","04","2016","","","","","","SO7677","52.4","-2.35","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SO","SO77","SO77T","SO7677","United Kingdom","England","dead"
"e556b4b4-6b7e-4d37-ae36-f5807330b17a","38994","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2017-04-21","21","04","2017","","","","","","NS7878","55.98","-3.94","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","NS","NS77","NS77Z","NS7878","United Kingdom","Scotland","dead"
"e3061417-ab7b-4f77-8bde-959c94fde640","38999","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2017-04-29","29","04","2017","","","","","","SN6693","52.52","-3.97","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SN","SN69","SN69R","SN6693","United Kingdom","Wales","dead"
"dca4008d-b3f1-446e-9381-a95c2a9ed13e","14111","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2015-04-19","19","04","2015","","","","","","NY5128","54.65","-2.75","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","NY","NY52","NY52E","NY5128","United Kingdom","England","dead"
"d98f99f1-f715-43f0-91fc-37e2e05b6f30","90309","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2022-04-03","03","04","2022","","","","","","TL4867","52.28","0.17","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","TL","TL46","TL46Y","TL4867","United Kingdom","England","dead"
"d5640b44-af22-4f9d-990a-c5d5c4307f2c","59912","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2019-04-12","12","04","2019","","","","","","SS7590","51.6","-3.79","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SS","SS79","SS79K","SS7590","United Kingdom","Wales","dead"
